D	1	/inputs/tmp_inpdfs/test.pdf
P	2	1000	1000
SMI	4	CC(=O)C1=CC=C(*)C=C1	468	1255	735	1400
FR	5	1611	1256	1933	1404
SMI	5	CC(=O)C1=CC=C(CC(*)=O)C=C1	1611	1256	1933	1404
FR	6	831	1287	1019	1371
SMI	6	BrCC(*)=O	831	1287	1019	1371
FR	7	470	2377	774	2538
SMI	7	*C1=CC=C(C=C1)C1=CC=CC=C1	470	2377	774	2538
FR	8	465	2052	662	2214
SMI	8	*C1=CC=CC2=C1C=CC=C2	465	2052	662	2214
FR	9	467	739	663	873
SMI	9	CC1=C(*)C=CC=C1	467	739	663	873
FR	10	1610	2377	1909	2534
SMI	10	FC(F)(F)CC1=CC=C(C=C1)C1=CC=CC=C1	1610	2377	1909	2534
FR	11	1611	740	1788	873
SMI	11	CC1=C(CC#N)C=CC=C1	1611	740	1788	873
P	8	1000	1000
FR	1	471	402	659	500
SMI	1	*C1=CC=CC=C1	471	402	659	500
FR	2	1610	1211	1905	1360
SMI	2	COC1=CC=C(C=C1)C(=C\C1=CC=CC=C1)\C1=CC=CC=C1	1610	1211	1905	1360
FR	3	1609	2378	1768	2536
SMI	3	C=CC1=CC=CC2=C1C=CC=C2	1609	2378	1768	2536
FR	4	824	410	954	493
SMI	4	ClC(=C)C#N	824	410	954	493
FR	5	823	635	931	748
SMI	5	ClC1=CCCC1	823	635	931	748
FR	6	819	2105	1068	2147
SMI	6	CON=[C](=C)\C=C\I	819	2105	1068	2147
FR	7	828	928	924	956
SMI	7	BrC=C	828	928	924	956
FR	8	830	2454	930	2483
SMI	8	BrC=C	830	2454	930	2483
FR	9	470	2388	659	2531
SMI	9	*C1=CC=CC2=C1C=CC=C2	470	2388	659	2531
FR	10	1610	2100	1957	2199
SMI	10	CON=[C](=C)\C=C\C1=CC=C(C)C=C1	1610	2100	1957	2199
FR	11	1610	623	1793	763
SMI	11	C1CC=C(C1)C1=CC=CC=C1	1610	623	1793	763
FR	12	1612	891	1846	989
SMI	12	COC1=CC=C(C=C)C=C1	1612	891	1846	989
FR	13	470	888	742	994
SMI	13	COC1=CC=C(*)C=C1	470	888	742	994
FR	14	1612	385	1793	514
SMI	14	C=C(C#N)C1=CC=CC=C1	1612	385	1793	514
FR	15	467	2097	700	2198
SMI	15	CC1=CC=C(*)C=C1	467	2097	700	2198
FR	16	828	1244	983	1326
SMI	16	Br\C(=C\C1=CC=CC=C1)C1=CC=CC=C1	828	1244	983	1326
P	9	1000	1000
FR	1	1609	2390	1873	2613
SMI	1	C[C]1(=C(C2=CC=CC=C2C=C1)C1=CC=CC2=C1C=CC=C2)P(C)(*)=O	1609	2390	1873	2613
FR	2	469	2069	731	2286
SMI	2	COC1=CC2=C(B(O)OC2(C)COCC2=CC=CC=C2)C(O)=C1	469	2069	731	2286
FR	3	825	729	1032	833
SMI	3	ClC1=CC=C(*)C=C1	825	729	1032	833
FR	4	1610	699	1876	860
SMI	4	CC1=C(C=CC=C1)C1=CC=C(*)C=C1	1610	699	1876	860
FR	5	466	2426	659	2573
SMI	5	*C1=CC=CC2=CC=CC=C12	466	2426	659	2573
FR	6	827	2430	1086	2573
SMI	6	C[C]1(=C(Br)C2=CC=CC=C2C=C1)P(C)(*)=O	827	2430	1086	2573
FR	7	1610	953	1852	1116
SMI	7	CC1=C(C=CC=C1)C1=CC=C(Cl)C=C1	1610	953	1852	1116
FR	8	469	410	700	555
SMI	8	*C1=CC2=C(OCO2)C=C1	469	410	700	555
FR	9	825	983	1027	1085
SMI	9	ClC1=CC=C(*)C=C1	825	983	1027	1085
FR	10	827	385	1069	580
SMI	10	COC1=CC(C=O)=C(Br)C(OC)=C1OC	827	385	1069	580
FR	11	1609	379	1950	586
SMI	11	COC1=CC(C=O)=C(C(OC)=C1OC)C1=CC2=C(OCO2)C=C1	1609	379	1950	586
FR	12	1610	2032	1949	2315
SMI	12	COC1=CC([C@@H](O)COCC2=CC=CC=C2)=C(C(*)=C1)C1=C(C)C=CC(=C1)[C@@H](*)C(*)=O	1610	2032	1949	2315
FR	13	1607	1202	1934	1366
SMI	13	CC1=CC=C(C=C1)C1=CC=C(C=C1)C(O)=O	1607	1202	1934	1366
FR	14	467	1233	696	1333
SMI	14	CC1=CC=C(*)C=C1	467	1233	696	1333
FR	15	831	2051	1058	2304
SMI	15	COC(=O)[C@H](*)C1=CC=C(OC)C(I)=C1	831	2051	1058	2304
FR	16	468	713	661	848
SMI	16	CC1=C(*)C=CC=C1	468	713	661	848
FR	17	826	1228	1057	1332
SMI	17	OC(=O)C1=CC=C(Br)C=C1	826	1228	1057	1332
P	10	1000	1000
FR	1	827	959	1019	1036
SMI	1	IC#C*	827	959	1019	1036
FR	2	1610	617	1876	883
SMI	2	C1=CC=C(C=C1)C#CC1=C2C=CC=CC2=CC=C1	1610	617	1876	883
FR	3	1607	2026	1915	2233
SMI	3	CC1=CC=C(C=C1)C#CC1=CC=CC=C1	1607	2026	1915	2233
FR	4	827	416	1015	538
SMI	4	IC#CC1=CC=CS1	827	416	1015	538
FR	5	826	2057	1037	2194
SMI	5	BrC#CC1=CC=CC=C1	826	2057	1037	2194
FR	6	1607	1163	1997	1354
SMI	6	CC1=CC=C(C=C1)C#CC1=CC=C(O1)C=O	1607	1163	1997	1354
FR	7	1610	930	1879	1067
SMI	7	CCCCCC#CC1=CC=CC=C1	1610	930	1879	1067
FR	8	1607	2272	1993	2528
SMI	8	CC(=O)C1=CC=C(C=C1)C#CC1=CC=C(C)C=C1	1607	2272	1993	2528
FR	9	1610	386	1868	573
SMI	9	S1C=CC=C1C#CC1=CC=CC=C1	1610	386	1868	573
FR	10	827	2299	1097	2491
SMI	10	CC(=O)C1=CC=C(C=C1)C#CI	827	2299	1097	2491
FR	11	467	1207	699	1307
SMI	11	CC1=CC=C(*)C=C1	467	1207	699	1307
FR	12	470	431	659	529
SMI	12	*C1=CC=CC=C1	470	431	659	529
FR	13	827	645	1021	846
SMI	13	IC#CC1=C2C=CC=CC2=CC=C1	827	645	1021	846
FR	14	823	1193	1104	1316
SMI	14	IC#CC1=CC=C(O1)C=O	823	1193	1104	1316
P	11	1000	1000
FR	1	827	1107	1152	1314
SMI	1	CC(\C=C\Br)N(C)CC1=CC=CC2=C1C=CC=C2	827	1107	1152	1314
FR	2	1643	1103	2064	1311
SMI	2	CC(\C=C\C#CC(C)(C)C)N(C)CC1=CC=CC2=C1C=CC=C2	1643	1103	2064	1311
FR	3	1642	2728	2013	2891
SMI	3	CC1=CC=C(C=C1)C#CC(*)=C	1642	2728	2013	2891
FR	4	1641	366	1838	558
SMI	4	*C#CC1=CC(=O)OC1	1641	366	1838	558
FR	5	469	420	642	504
SMI	5	*C#C*	469	420	642	504
FR	6	466	1167	737	1246
SMI	6	CC(C)(C)C#C*	466	1167	737	1246
FR	7	826	2755	1019	2834
SMI	7	BrC(*)=C	826	2755	1019	2834
FR	8	468	2364	713	2510
SMI	8	*C#CC1=CC=CC=C1	468	2364	713	2510
FR	9	1645	2305	2025	2569
SMI	9	*\C(\C=C\C1=CC=CC=C1)=C/C#CC1=CC=CC=C1	1645	2305	2025	2569
FR	10	469	1972	785	2063
SMI	10	CCCCCCC#C*	469	1972	785	2063
FR	11	828	2356	1093	2518
SMI	11	Cl\C=C(/*)\C=C\C1=CC=CC=C1	828	2356	1093	2518
FR	12	828	407	986	520
SMI	12	BrC1=CC(=O)OC1	828	407	986	520
FR	13	465	2727	750	2870
SMI	13	CC1=CC=C(C=C1)C#C*	465	2727	750	2870
P	12	1000	1000
FR	1	472	2306	756	2391
SMI	1	CCCCCCC#C*	472	2306	756	2391
FR	2	466	2523	755	2606
SMI	2	CCCCCCC#C*	466	2523	755	2606
FR	3	1609	395	2016	609
SMI	3	CC(C)C1=CC=C(C=C1)C#CC1=CC=C(C=C1)C(C)C	1609	395	2016	609
FR	4	1614	2490	1927	2639
SMI	4	CCCCCCC#CC1=CC=C(C=C1)C#N	1614	2490	1927	2639
FR	5	465	754	684	839
SMI	5	CCCCC#C*	465	754	684	839
FR	6	826	2514	1025	2618
SMI	6	ClC1=CC=C(C=C1)C#N	826	2514	1025	2618
FR	7	469	458	670	544
SMI	7	*C#C*	469	458	670	544
FR	8	826	745	1026	849
SMI	8	BrC1=CC=C(C=C1)C#N	826	745	1026	849
FR	9	826	425	1033	527
SMI	9	CC(C)C1=CC=C(Br)C=C1	826	425	1033	527
FR	10	1610	955	1919	1203
SMI	10	O=CC1=C(C=C2OCOC2=C1)C#CC1=NC=CC=C1	1610	955	1919	1203
FR	11	824	2297	1004	2397
SMI	11	CC1=CC=C(Br)C=C1	824	2297	1004	2397
FR	12	467	1009	702	1151
SMI	12	*C#CC1=NC=CC=C1	467	1009	702	1151
FR	13	826	983	1008	1130
SMI	13	CC1=C(Br)C=C2OCOC2=C1	826	983	1008	1130
FR	14	1608	722	1911	871
SMI	14	CCCCC#CC1=CC=C(C=C1)C#N	1608	722	1911	871
FR	15	1611	2274	1904	2419
SMI	15	CCCCCCC#CC1=CC=C(C)C=C1	1611	2274	1904	2419
FR	16	469	2032	714	2175
SMI	16	*C#CC1=CC=CC=C1	469	2032	714	2175
P	13	1000	1000
FR	1	467	638	608	761
SMI	1	*C1=CSC=C1	467	638	608	761
FR	2	1608	858	1944	1032
SMI	2	COC1=NC(OC)=C(C=N1)C1=CC=C(C=C1)C#N	1608	858	1944	1032
FR	3	470	871	720	1019
SMI	3	COC1=NC(OC)=C(*)C=N1	470	871	720	1019
FR	4	467	2381	698	2482
SMI	4	*C1=NC=CC=C1	467	2381	698	2482
FR	5	468	2158	664	2259
SMI	5	*C1=NC=CC=C1	468	2158	664	2259
FR	6	827	425	963	523
SMI	6	ClC1=NC=CC=N1	827	425	963	523
FR	7	1609	399	1805	547
SMI	7	S1C=CC=C1C1=NC=CC=N1	1609	399	1805	547
FR	8	827	891	1027	995
SMI	8	BrC1=CC=C(C=C1)C#N	827	891	1027	995
FR	9	825	2360	970	2507
SMI	9	BrC1=CC=CC=C1C#N	825	2360	970	2507
FR	10	825	2156	1044	2254
SMI	10	COC1=CC(Cl)=CC=C1	825	2156	1044	2254
FR	11	825	648	1025	751
SMI	11	BrC1=CC=C(C=C1)C#N	825	648	1025	751
FR	12	1609	2127	1884	2283
SMI	12	COC1=CC(=CC=C1)C1=NC=CC=C1	1609	2127	1884	2283
FR	13	1608	622	1856	781
SMI	13	N#CC1=CC=C(C=C1)C1=CSC=C1	1608	622	1856	781
FR	14	470	434	656	512
SMI	14	*C1=CC=CS1	470	434	656	512
FR	15	1611	2356	1801	2510
SMI	15	N#CC1=CC=CC=C1C1=NC=CC=C1	1611	2356	1801	2510
P	14	1000	1000
FR	1	1612	922	1977	1151
SMI	1	*C1=CC2=C(C=C1)C(=NN2)C1=CC=CC(*)=C1	1612	922	1977	1151
FR	2	1608	644	1811	844
SMI	2	C(N1C=C(C=N1)C1=CC=CN=C1)C1=CC=CC=C1	1608	644	1811	844
FR	3	829	963	1056	1113
SMI	3	ClC1=NNC2=C1C=CC(*)=C2	829	963	1056	1113
FR	4	1610	372	1795	525
SMI	4	S1C=CC(=C1)C1=NC=CC=C1	1610	372	1795	525
FR	5	827	2383	972	2480
SMI	5	BrC1=CC=NC=C1	827	2383	972	2480
FR	6	1609	2090	1965	2253
SMI	6	C[C]1(=C(*)C=C2C=CC=CC2=N1)C1=CC(=CC=C1)C(F)(F)F	1609	2090	1965	2253
FR	7	824	1300	961	1399
SMI	7	ClC1=NC=CC=C1	824	1300	961	1399
FR	8	827	401	964	496
SMI	8	BrC1=NC=CC=C1	827	401	964	496
FR	9	469	2387	734	2480
SMI	9	*C1=CC2=CC=CC=C2S1	469	2387	734	2480
FR	10	1608	2386	1970	2477
SMI	10	S1C(=CC2=CC=CC=C12)C1=CC=NC=C1	1608	2386	1970	2477
FR	11	827	685	997	798
SMI	11	C[N]1(CC2=CC=CC=C2)C=C(Br)C=N1	827	685	997	798
FR	12	468	397	629	514
SMI	12	*C1=CSC=C1	468	397	629	514
FR	13	469	1281	662	1416
SMI	13	CC1=C(*)C=CC=C1	469	1281	662	1416
FR	14	473	985	752	1089
SMI	14	*C1=CC(*)=CC=C1	473	985	752	1089
FR	15	829	2118	1065	2225
SMI	15	C[C]1(Cl)=C(*)C=C2C=CC=CC2=N1	829	2118	1065	2225
FR	16	1611	1273	1799	1424
SMI	16	CC1=C(C=CC=C1)C1=NC=CC=C1	1611	1273	1799	1424
FR	17	469	691	659	796
SMI	17	*C1=CC=CN=C1	469	691	659	796
FR	18	468	2121	728	2219
SMI	18	FC(F)(F)C1=CC=CC(*)=C1	468	2121	728	2219
P	15	1000	1000
FR	1	826	2339	1161	2553
SMI	1	CCCCC#CC(OC(=O)OC)C1=CC=C(Br)C=C1	826	2339	1161	2553
FR	2	1631	608	1906	821
SMI	2	CCC(*)=C.COC1=CC=C(CC=C)C=C1	1631	608	1906	821
FR	3	1629	2085	1912	2241
SMI	3	BrC1=C(CC(=C)C2=CC=CC=C2)C=CC=C1	1629	2085	1912	2241
FR	4	471	435	605	510
SMI	4	*C1CC1	471	435	605	510
FR	5	824	963	1061	1039
SMI	5	BrCC#C*	824	963	1061	1039
FR	6	1632	423	2075	522
SMI	6	C\C=C(\OC1=CC(CC2CC2)=CC=C1)/C=C\*	1632	423	2075	522
FR	7	468	649	559	776
SMI	7	*CC(*)=C	468	649	559	776
FR	8	468	1311	702	1343
SMI	8	CCCC\C=C\*	468	1311	702	1343
FR	9	828	1313	963	1343
SMI	9	BrCC=C	828	1313	963	1343
FR	10	1629	1312	1868	1342
SMI	10	CCCC\C=C\CC=C	1629	1312	1868	1342
FR	11	824	664	1149	767
SMI	11	COC1=CC=C(\C=C\CCl)C=C1	824	664	1149	767
FR	12	829	2097	1039	2228
SMI	12	BrCC(=C)C1=CC=CC=C1	829	2097	1039	2228
FR	13	469	2092	661	2233
SMI	13	BrC1=C(*)C=CC=C1	469	2092	661	2233
FR	14	1629	930	2012	1081
SMI	14	*C#CCC1=C(*)N=C(*)N=C1	1629	930	2012	1081
FR	15	467	928	752	1082
SMI	15	*C1=NC(*)=C(*)C=N1	467	928	752	1082
FR	16	825	424	1150	524
SMI	16	ClCC1=CC=CC(OC2=CC=CC=C2)=C1	825	424	1150	524
FR	17	471	2395	737	2501
SMI	17	COC1=CC=C(*)C=C1	471	2395	737	2501
